,account_balance,duration,credit_history,purpose,credit_amount,savings_bond_value,employed_since,intallment_rate,sex_marital,guarantor,residence_since,property,age,other_installment_plans,type_of_housing,nr_of_existing_credits,job,number_of_dependents,telephone,foreign,target
0,0,0,4,4,1,4,4,3,2,0,3,0,9,2,1,1,2,0,1,0,1
1,1,7,2,4,8,0,2,1,1,0,1,0,0,2,1,0,2,0,0,0,2
2,3,1,4,7,4,0,3,1,2,0,2,0,8,2,1,0,1,1,0,0,1
3,0,7,2,3,9,0,3,1,2,2,3,1,7,2,2,0,2,1,0,0,1
4,0,4,3,0,8,0,2,2,2,0,3,3,9,2,2,1,2,1,0,0,2
5,3,6,2,7,9,4,2,1,2,0,3,3,5,2,2,0,1,1,1,0,1
6,3,4,2,3,5,2,4,2,2,0,3,1,9,2,1,0,2,0,0,0,1
7,1,6,2,1,8,0,2,1,2,0,1,2,5,2,0,0,3,0,1,0,1
8,3,1,2,4,6,3,3,1,0,0,3,0,9,2,1,0,1,0,0,0,1
9,1,5,4,0,8,0,0,3,3,0,1,2,2,2,1,1,3,0,0,0,2
10,1,1,2,0,2,0,1,2,1,0,0,2,1,2,0,0,2,0,0,0,2
11,0,7,2,9,7,0,1,2,1,0,3,1,1,2,0,0,2,0,0,0,2
12,1,1,2,4,3,0,2,0,1,0,0,2,0,2,1,0,2,0,1,0,1
13,0,4,4,0,1,0,4,3,2,0,3,2,9,2,1,1,1,0,0,0,2
14,0,2,2,0,2,0,2,1,1,0,3,2,2,2,0,0,2,0,0,0,1
15,0,4,2,4,2,1,2,3,1,0,1,2,4,2,1,0,1,0,0,0,2
16,3,4,4,4,5,4,4,3,2,0,3,1,9,2,1,1,2,0,0,0,1
17,0,5,0,9,9,4,1,1,2,0,2,2,1,0,1,2,2,0,0,0,1
18,1,4,2,1,9,0,4,3,1,0,1,3,7,2,2,0,3,0,1,0,2
19,3,4,2,4,6,2,4,2,2,0,1,2,4,2,1,0,2,1,1,0,1
20,3,0,4,0,4,0,2,3,2,0,3,2,8,2,1,2,2,0,1,0,1
21,0,0,2,4,5,2,2,1,2,0,2,0,7,2,0,0,2,1,0,0,1
22,0,1,4,0,4,0,1,0,2,0,2,0,8,2,0,1,1,1,0,1,1
23,1,1,4,1,3,1,1,2,2,0,3,1,7,2,1,0,2,0,0,0,1
24,3,1,4,3,4,4,2,1,3,0,0,2,1,2,1,1,2,0,0,1,1
25,0,0,2,3,2,0,2,0,2,0,1,0,5,0,1,0,1,0,1,0,1
26,3,0,0,4,0,0,4,3,3,0,3,2,6,2,1,0,1,0,0,0,1
27,2,1,1,4,0,3,2,2,1,0,2,0,7,2,0,1,2,0,0,0,1
28,1,0,2,4,5,0,2,2,2,2,1,0,5,2,1,0,2,0,0,0,1
29,0,7,3,9,8,0,4,2,2,0,3,3,9,2,1,1,2,0,1,0,2
30,1,3,2,9,4,3,1,2,3,0,2,0,5,0,1,0,2,0,1,0,1
31,0,4,2,3,7,0,2,1,2,0,1,2,2,1,1,0,2,0,0,0,1
32,1,3,2,0,8,1,2,1,2,0,1,2,3,2,1,1,2,0,1,0,1
33,3,1,4,9,2,4,4,3,2,0,3,3,9,2,0,0,1,0,0,0,1
34,2,1,2,3,2,0,1,3,1,0,0,1,4,0,1,0,3,0,1,0,1
35,1,7,4,4,8,0,1,3,2,0,1,1,1,2,1,1,1,0,0,0,2
36,3,7,4,7,8,0,2,0,2,0,2,3,4,0,2,0,2,0,1,0,1
37,2,3,2,4,4,0,2,3,2,1,1,0,6,1,1,0,2,0,0,0,2
38,2,1,2,5,1,0,2,1,2,0,1,2,6,2,1,0,2,0,1,0,1
39,1,0,2,4,0,0,2,3,2,0,2,0,1,2,1,0,2,0,0,0,1
40,3,5,2,4,5,2,4,3,2,0,1,2,3,0,1,0,3,0,0,0,1
41,1,1,2,4,1,2,2,2,0,0,0,2,1,2,1,0,2,0,1,0,1
42,1,3,3,6,8,0,2,1,2,0,3,0,7,2,1,0,1,1,1,0,1
43,0,5,4,1,8,1,3,0,3,0,3,2,1,2,0,1,2,0,0,0,1
44,0,7,4,1,8,0,4,3,1,0,3,3,9,1,2,1,1,0,0,0,2
45,3,1,4,0,2,0,1,3,1,0,3,2,5,2,1,1,3,0,0,0,1
46,3,6,2,4,4,2,4,3,2,0,3,2,6,2,1,0,2,0,0,0,1
47,0,0,2,1,2,2,0,0,1,0,1,1,0,2,0,0,0,0,1,0,1
48,3,1,4,0,9,0,2,0,2,0,3,1,6,2,1,1,1,0,0,0,1
49,3,1,2,4,4,1,2,3,1,1,1,0,2,2,1,0,2,0,0,0,1
50,1,4,3,3,5,4,1,3,2,0,1,1,3,0,1,0,1,0,0,0,1
51,1,5,3,1,8,0,4,0,2,0,1,2,3,2,1,1,3,0,1,0,1
52,3,1,2,4,1,0,2,2,2,0,1,2,1,2,1,0,2,0,0,0,1
53,3,3,2,1,6,4,2,1,2,0,0,1,4,2,1,0,2,0,1,0,1
54,1,6,3,0,4,0,4,3,2,0,3,3,9,0,2,1,2,0,1,0,2
55,3,0,1,0,0,4,2,0,2,2,1,0,1,1,1,0,1,1,0,0,1
56,1,1,2,4,8,4,0,1,2,0,0,3,8,2,1,0,3,0,1,0,2
57,3,6,4,4,9,0,2,1,1,0,1,2,4,1,1,1,2,0,0,0,1
58,2,3,2,0,4,0,4,2,1,0,1,2,0,2,1,0,3,0,0,0,1
59,0,6,4,3,8,0,1,3,1,1,3,3,0,2,0,1,1,0,1,0,2
60,1,0,2,9,2,0,2,1,3,0,0,0,2,0,1,0,2,0,1,0,1
61,1,2,4,4,3,4,4,3,2,2,3,0,8,2,1,1,2,0,1,0,1
62,1,6,0,9,4,0,4,3,2,0,3,3,9,2,2,0,3,0,1,0,2
63,1,7,0,9,9,0,2,1,2,0,1,2,1,2,1,0,2,0,1,0,2
64,3,4,2,4,6,0,1,3,1,0,3,1,1,2,1,0,2,0,1,0,1
65,3,5,2,6,8,4,4,3,2,0,3,1,8,2,1,3,2,1,1,0,1
66,3,1,2,4,4,0,1,1,1,0,1,2,3,0,1,0,2,0,0,0,1
67,1,1,2,0,1,3,2,3,3,0,0,0,0,2,1,0,2,0,0,0,1
68,3,6,2,7,3,0,2,3,2,0,3,3,6,1,2,0,2,0,1,0,2
69,3,6,2,4,5,4,2,3,1,0,3,2,1,2,1,0,2,0,0,0,1
70,3,6,2,1,9,0,2,0,1,0,1,1,3,0,1,0,2,0,0,0,1
71,3,0,4,4,0,4,4,3,2,0,1,1,8,2,0,1,1,0,1,0,1
72,0,0,4,2,1,0,4,2,2,0,3,3,8,0,2,1,3,1,1,0,1
73,1,7,4,9,8,0,3,1,1,0,0,0,7,0,1,1,1,0,0,0,1
74,0,6,2,7,4,4,4,3,2,0,3,3,7,2,1,0,3,0,1,0,2
75,0,1,4,1,3,0,4,3,2,0,3,3,9,2,2,1,3,0,0,0,1
76,0,7,2,4,7,0,1,3,2,0,2,2,5,2,1,0,2,0,0,0,2
77,1,1,3,4,8,0,3,1,2,0,3,1,8,2,1,0,2,0,0,0,1
78,3,7,0,1,9,4,2,1,2,0,1,1,6,2,1,0,1,1,0,0,1
79,1,5,2,3,7,0,1,1,3,0,0,1,0,2,1,0,2,0,0,0,1
80,3,4,2,4,8,4,1,0,1,0,0,2,7,2,1,1,2,0,1,0,2
81,3,2,2,4,1,2,4,3,2,0,2,1,8,1,1,0,2,0,1,0,1
82,3,3,2,9,3,1,2,2,1,0,3,1,1,2,0,0,1,0,0,0,1
83,0,4,2,2,3,0,4,3,1,2,3,0,9,2,1,0,1,0,1,0,1
84,0,1,2,4,4,0,4,2,2,0,3,0,8,2,1,0,1,0,0,0,1
85,3,1,4,9,2,0,2,3,1,2,1,0,3,2,1,1,3,0,1,0,1
86,1,3,4,3,2,0,1,3,1,0,0,1,2,2,1,1,2,0,0,0,1
87,1,6,2,7,9,1,2,0,2,0,3,3,8,2,2,0,2,1,1,0,2
88,0,3,2,0,4,1,3,3,2,0,2,2,3,2,1,0,3,1,1,0,1
89,0,1,0,6,1,0,3,3,2,0,2,0,2,2,1,1,2,0,0,0,2
90,3,1,4,4,0,0,4,3,2,0,3,0,9,2,1,0,2,0,0,0,1
91,0,1,4,1,2,0,4,3,2,0,2,0,9,2,1,0,2,0,0,0,1
92,3,1,4,4,0,4,4,3,1,0,2,1,4,0,1,0,1,1,0,0,2
93,2,4,4,3,7,4,4,3,2,1,3,3,0,2,0,1,2,0,0,0,1
94,1,1,2,0,2,3,4,3,2,0,3,0,9,2,1,0,2,0,1,0,1
95,1,7,0,9,9,0,1,2,2,0,3,3,9,2,0,0,2,0,1,0,2
96,3,1,4,7,4,4,3,3,1,0,1,2,9,2,1,0,2,0,0,0,1
97,1,3,2,9,5,1,2,3,2,0,3,2,5,2,1,0,2,0,0,0,1
98,1,6,4,4,5,0,4,3,2,0,3,0,5,2,1,0,2,0,0,0,1
99,1,4,3,1,8,4,3,2,2,0,3,1,5,0,0,1,3,1,1,0,1
100,3,4,2,0,2,1,4,3,3,0,3,0,7,2,0,0,1,0,0,0,1
101,1,6,2,4,5,0,3,3,2,0,3,2,1,2,0,0,2,0,0,0,1
102,3,0,3,4,0,0,2,2,1,0,1,0,1,2,1,0,2,0,0,0,1
103,1,0,4,3,4,0,3,3,2,0,2,2,5,2,0,0,2,0,1,0,1
104,3,1,2,1,5,4,1,1,3,0,3,2,1,2,0,0,2,0,1,0,1
105,1,4,4,2,9,0,2,1,2,1,2,2,6,2,1,1,3,1,1,0,2
106,3,3,1,0,8,0,4,1,2,0,3,3,6,0,1,1,3,1,1,0,2
107,1,1,2,0,8,0,3,1,2,0,1,2,4,2,1,0,2,0,0,0,1
108,0,4,2,3,9,4,1,0,1,0,1,1,3,2,1,0,2,0,1,1,1
109,1,2,2,9,2,2,4,0,3,0,1,0,5,2,1,0,2,0,1,0,1
110,1,0,3,9,2,1,4,0,0,0,1,2,4,0,1,1,2,1,0,0,1
111,2,2,2,7,0,0,1,3,1,0,3,1,0,2,0,0,2,0,1,0,1
112,1,3,2,0,8,0,3,2,2,0,2,0,2,2,0,0,1,0,0,0,1
113,3,6,4,0,9,0,2,3,1,0,1,0,1,1,1,1,2,0,1,0,2
114,0,1,2,4,3,2,4,2,3,0,0,0,5,2,1,0,2,0,0,0,1
115,3,7,4,4,6,4,4,3,2,0,0,0,8,2,1,0,2,0,1,0,1
116,0,7,2,4,8,4,3,3,1,0,2,2,3,2,1,0,3,0,1,0,2
117,0,1,4,3,4,4,1,1,1,1,2,0,2,2,0,1,2,0,0,1,1
118,0,6,4,3,7,2,2,0,1,0,3,2,0,2,1,1,2,0,0,0,2
119,1,1,4,0,5,2,3,2,0,0,2,2,5,2,1,0,3,0,1,0,1
120,0,4,2,4,3,0,2,2,1,0,1,0,1,2,1,1,2,0,1,0,2
121,3,4,4,1,7,0,4,3,1,0,1,2,7,2,0,1,3,0,1,0,1
122,3,1,2,3,3,0,2,2,2,0,1,0,1,2,0,0,1,0,0,0,1
123,2,1,4,0,0,0,4,3,2,0,3,3,9,2,2,1,2,0,1,0,1
124,1,3,2,3,4,4,1,3,1,0,2,0,2,2,0,0,2,0,0,0,2
125,0,1,4,0,4,0,2,3,2,0,1,1,3,2,1,1,2,0,0,0,1
126,0,1,2,4,0,0,2,3,3,0,1,0,7,2,1,0,1,0,0,0,1
127,1,1,2,6,0,0,2,3,2,0,1,2,3,2,1,0,2,0,0,0,2
128,1,1,4,1,3,0,0,3,2,0,1,2,5,2,1,1,3,0,1,0,1
129,0,1,4,0,6,0,2,2,1,1,1,0,3,2,1,1,2,0,0,0,2
130,1,7,2,0,9,4,3,0,1,0,1,2,1,2,1,0,2,0,0,0,1
131,0,6,3,7,8,0,2,3,2,0,2,1,3,1,1,0,2,0,1,0,2
132,3,2,2,3,5,0,1,1,2,0,2,1,2,0,1,1,1,0,0,0,1
133,3,3,2,3,4,0,2,3,2,0,3,3,8,0,2,1,2,0,0,0,1
134,3,7,2,4,9,1,3,1,1,0,3,0,0,2,1,0,2,0,1,0,1
135,3,1,4,4,1,4,4,3,1,0,1,0,6,2,1,1,2,0,1,0,1
136,3,5,3,1,9,3,2,1,2,0,1,2,2,2,1,1,2,0,0,0,1
137,1,1,2,4,0,2,2,3,2,0,2,0,9,2,1,0,1,0,0,0,2
138,1,2,4,4,5,4,3,3,2,2,1,0,5,0,1,2,2,0,1,0,1
139,2,1,2,4,3,0,2,1,1,0,1,2,7,2,0,0,1,0,1,0,1
140,2,0,2,0,0,3,1,1,3,0,1,0,2,2,1,0,0,0,0,1,1
141,1,6,2,4,8,0,1,3,1,0,0,3,3,2,1,0,3,0,1,0,1
142,0,5,2,4,6,0,2,2,2,0,1,2,2,2,1,0,3,0,0,0,1
143,0,3,2,3,5,0,2,1,2,0,1,2,0,2,1,0,2,0,0,0,2
144,3,4,4,3,4,0,1,3,1,0,3,1,0,2,1,0,2,0,1,0,1
145,1,7,1,9,6,1,3,3,2,0,1,2,3,2,1,0,2,0,0,0,1
146,0,0,4,0,0,0,4,0,1,0,3,3,6,2,1,1,2,0,1,0,1
147,3,1,4,0,0,1,3,3,1,0,2,2,8,2,1,1,2,0,1,0,1
148,0,6,4,3,8,0,2,2,2,2,1,1,2,2,1,1,2,0,0,0,1
149,3,3,4,4,3,3,4,3,2,0,3,2,8,2,1,1,2,0,0,0,1
150,3,0,2,4,2,1,4,1,2,0,3,3,7,0,2,0,2,1,1,0,1
151,3,1,2,4,4,0,2,0,2,0,3,1,6,2,1,0,2,0,1,1,1
152,2,6,2,4,8,0,2,3,2,0,0,2,1,2,1,0,2,0,0,0,1
153,1,4,4,1,9,3,4,1,1,0,3,3,3,2,0,0,2,0,0,0,1
154,1,4,3,9,8,1,3,3,2,0,3,2,5,2,0,0,3,0,1,0,1
155,0,1,2,3,2,0,2,1,1,0,3,2,0,2,0,0,2,0,0,0,2
156,0,0,4,6,2,1,4,2,2,2,3,0,8,2,1,1,2,1,0,1,1
157,0,1,1,8,0,0,4,3,3,0,0,2,7,0,1,0,1,0,0,0,1
158,1,4,2,0,6,1,3,1,2,0,2,2,6,0,1,1,2,0,1,0,1
159,3,0,4,4,3,4,2,0,2,0,1,0,5,2,1,1,1,1,0,0,1
160,3,4,4,4,6,1,4,2,2,0,3,0,5,2,1,0,2,1,1,0,1
161,3,3,4,0,1,0,1,3,1,0,0,1,3,2,1,1,2,0,0,0,1
162,3,2,2,5,1,2,3,3,2,0,2,1,5,2,1,1,2,0,1,0,1
163,1,1,2,0,9,0,0,1,2,0,3,3,9,0,2,0,3,0,1,0,1
164,3,6,2,0,0,2,4,3,2,0,3,1,5,2,1,0,2,0,0,0,1
165,3,0,2,3,6,2,2,0,2,0,1,2,4,2,1,0,2,0,1,0,1
166,0,3,2,3,1,0,0,3,1,0,1,2,4,2,1,0,2,0,0,0,2
167,1,1,2,3,3,3,1,3,1,0,0,0,0,2,1,0,2,0,0,0,1
168,3,4,2,3,7,0,3,1,1,0,3,1,1,2,0,0,2,0,1,0,1
169,1,4,4,9,4,0,4,3,0,0,3,0,4,2,1,1,2,0,1,0,2
170,0,2,0,0,1,0,4,3,2,0,2,2,4,2,0,1,2,1,0,0,2
171,3,1,2,3,0,0,2,3,1,0,0,0,1,2,1,0,2,0,1,0,1
172,1,4,3,3,4,0,0,2,1,0,1,1,5,2,1,0,3,0,1,0,2
173,1,0,2,4,2,0,2,3,2,2,1,0,4,2,1,0,2,0,0,1,1
174,0,4,3,7,6,0,1,1,2,0,0,1,1,2,1,1,2,0,0,0,2
175,3,5,1,1,9,4,0,3,1,0,0,0,9,0,1,0,3,0,1,0,2
176,0,1,2,3,5,0,2,1,0,0,0,2,7,2,1,0,2,0,0,0,1
177,0,0,4,4,0,2,4,3,2,0,3,2,8,2,1,1,2,0,0,0,1
178,3,1,2,4,4,0,3,3,2,0,1,2,4,2,0,1,3,1,1,0,1
179,0,4,4,0,0,0,4,3,2,0,3,0,9,2,1,1,2,0,0,0,1
180,3,6,3,9,9,0,1,0,0,0,0,2,2,2,1,1,2,0,0,0,2
181,1,6,3,9,7,0,2,1,0,0,1,0,3,1,1,1,3,0,1,0,2
182,0,4,1,0,3,4,2,3,2,0,1,1,7,2,1,1,1,1,0,0,2
183,3,4,4,3,7,3,2,3,2,0,3,0,8,2,1,0,2,0,1,0,1
184,1,3,4,0,0,0,4,3,2,0,3,2,5,0,1,0,2,1,1,0,2
185,3,2,4,4,2,0,2,3,2,0,1,1,4,2,1,1,2,0,0,0,1
186,1,0,1,1,8,0,4,1,1,0,3,3,9,0,2,0,3,1,1,0,2
187,1,3,4,0,1,0,0,1,2,0,2,2,9,2,2,2,0,0,1,0,1
188,0,1,2,4,0,1,3,3,3,0,0,1,0,2,1,0,2,0,0,0,2
189,1,3,0,3,6,0,2,0,1,0,3,2,4,0,1,1,2,0,1,0,1
190,3,4,2,9,7,3,2,1,2,0,2,1,9,2,1,2,3,0,1,0,2
191,1,7,0,9,7,1,3,3,2,0,3,3,5,2,2,0,1,1,0,0,2
192,1,5,2,9,7,0,2,3,2,0,1,2,5,2,1,0,2,1,1,0,2
193,3,0,2,4,4,0,3,1,3,0,1,0,3,2,0,0,2,0,0,0,1
194,1,7,2,4,6,1,2,3,2,2,3,1,0,2,0,0,2,0,0,0,2
195,1,0,4,7,3,0,4,1,1,0,2,2,5,2,1,1,3,0,1,0,2
196,3,0,4,4,2,0,2,0,1,0,0,2,2,2,1,1,2,0,1,0,1
197,1,1,2,3,1,1,1,3,1,0,3,2,2,0,0,3,2,0,0,0,2
198,1,4,2,1,5,4,4,3,2,0,3,3,5,0,2,0,2,0,1,0,1
199,1,3,3,3,7,0,4,3,0,0,2,3,7,2,1,0,3,0,1,0,2
200,3,0,4,7,1,2,4,3,2,0,1,2,8,2,1,1,2,0,1,0,1
201,0,1,2,0,1,0,2,3,3,0,2,0,2,2,1,0,1,0,0,0,1
202,3,5,3,9,8,0,3,2,2,0,3,2,1,2,1,1,2,0,0,0,1
203,0,1,2,8,0,0,3,3,3,0,3,1,0,2,0,0,2,0,0,0,2
204,3,1,4,0,3,0,4,3,2,0,0,0,6,2,1,1,1,1,0,0,1
205,0,5,4,1,9,0,4,2,2,0,3,3,6,2,2,2,3,1,1,0,1
206,3,1,4,3,4,0,4,3,2,0,3,0,7,2,1,2,2,0,1,0,1
207,1,1,4,5,2,0,3,3,2,0,2,1,1,2,1,0,2,0,0,0,1
208,0,4,2,9,8,0,2,1,3,0,1,2,0,1,1,0,1,0,0,0,1
209,3,1,2,1,2,3,3,2,2,0,1,1,9,2,1,0,2,0,0,1,1
210,3,0,4,4,6,4,2,0,2,0,1,0,4,2,1,1,2,1,0,0,1
211,3,6,2,4,7,4,4,1,1,0,3,0,7,2,1,0,1,0,1,0,1
212,0,5,0,9,8,0,0,1,2,0,3,1,8,1,1,1,2,0,1,0,2
213,2,5,3,9,4,0,4,3,2,0,3,0,9,2,1,0,3,0,1,0,2
214,3,6,4,4,6,4,4,3,2,0,1,2,8,2,1,0,2,0,1,0,1
215,1,0,4,8,0,4,3,0,1,0,2,1,6,2,1,1,1,0,0,0,1
216,0,3,0,9,6,0,3,2,2,0,0,1,4,0,1,0,2,0,1,0,1
217,2,6,2,4,7,0,2,1,2,0,1,0,0,2,1,0,2,0,1,0,1
218,0,4,2,3,6,0,2,1,0,0,1,0,1,2,0,0,1,0,0,0,1
219,3,1,2,0,2,0,2,1,1,0,3,2,9,2,1,0,2,0,1,0,1
220,1,1,2,4,0,0,1,3,3,2,0,0,1,0,1,0,1,0,0,0,1
221,0,1,2,7,1,4,2,3,1,0,3,1,0,0,0,0,2,0,1,0,1
222,3,1,2,4,0,0,2,3,2,0,1,0,3,0,1,1,2,0,0,0,1
223,3,4,3,9,6,4,2,3,2,0,3,0,4,2,1,1,2,1,1,0,1
224,3,2,2,1,7,0,2,2,2,0,1,2,3,2,1,0,2,0,1,0,1
225,3,6,0,6,5,0,2,3,2,0,1,2,2,2,1,1,2,0,0,0,1
226,1,7,2,4,9,3,3,0,2,1,1,3,2,0,1,1,2,0,1,0,2
227,0,1,2,3,9,0,4,3,2,0,3,3,9,2,2,0,3,0,1,0,2
228,3,0,2,4,2,0,3,3,2,0,1,2,0,2,1,0,2,0,0,0,2
229,0,4,2,3,6,0,1,3,2,0,0,3,0,0,2,0,2,0,0,0,1
230,2,6,2,4,7,0,2,3,2,0,1,2,1,2,1,0,2,0,0,0,2
231,3,0,2,0,5,2,4,1,2,0,3,3,8,2,2,0,1,0,0,0,1
232,3,1,2,4,4,1,3,2,2,0,0,3,5,2,1,0,2,0,0,0,1
233,1,3,2,4,0,0,2,3,3,2,1,0,1,2,1,0,1,0,0,0,1
234,3,0,4,4,3,0,3,1,2,0,0,0,7,2,1,2,1,1,0,0,1
235,0,4,2,4,3,0,0,3,2,0,1,2,3,1,1,0,3,1,0,0,2
236,1,0,2,0,9,4,0,0,2,0,1,1,0,2,1,0,0,0,1,0,2
237,1,4,2,9,5,1,4,3,0,0,1,2,9,0,0,1,1,0,0,0,2
238,3,1,4,4,2,0,2,3,1,0,1,1,5,2,1,1,2,0,0,0,1
239,0,5,2,4,5,0,4,0,2,2,2,1,6,2,1,0,2,1,0,0,1
240,0,4,2,0,0,4,4,3,1,0,1,2,3,0,1,0,2,0,0,0,2
241,3,0,2,4,3,0,3,2,2,0,1,1,8,2,1,0,2,1,0,0,1
242,0,7,0,1,7,0,4,2,2,0,3,3,1,2,2,1,2,1,0,0,2
243,3,1,4,9,1,0,2,2,1,0,1,0,2,2,1,1,2,0,0,0,1
244,3,1,1,8,6,2,2,3,1,0,2,0,5,2,1,0,1,1,0,0,1
245,3,4,2,9,1,0,3,3,2,0,0,0,1,2,1,0,2,0,1,0,1
246,3,1,4,4,0,0,4,3,2,0,3,0,8,2,1,2,2,0,0,0,1
